<Código>;<Nome>;<Código Docente>;<Carga Horária Semanal>;<Carga Horária Semestral>;<Código do Curso>
016;Gust;144;40;700;037
181;Powder Snow;144;40;500;249
084;Thunder Shock;145;40;600;229
052;Ember;146;40;500;172
093;Confusion;150;50;625;248
001;Pound;151;40;700;001
118;Metronome;151;1;10;001
094;Psychic;150;90;450;248
053;Flamethrower;146;90;675;172
435;Discharge;145;80;600;157
058;Ice Beam;144;90;450;263
059;Blizzard;144;110;275;263
087;Thunder;145;110;550;229
257;Heat Wave;146;95;475;172
396;Aura Sphere;151;80;800;020
129;Swift;151;60;600;307
