<código do docente>;<matricula do discente>;<data de ingresso do discente no programa>;<programa de pós graduação>;<carga horária semanal>
778;2014777113;05/07/2016;Mestrado em Agroquímica;8
779;2016777115;07/09/2017;Mestrado em Produção Vegetal;16
780;2017777116;08/10/2017;Mestrado em Agricultura Tropical;21
781;2013777119;11/06/2015;Mestrado em Genética e Melhoramentos;8
784;2016777122;25/03/2016;Mestrado em Biotecnologia;16
786;2012777125;17/07/2012;Mestrado em Psicologia;21
778;2012777146;05/07/2016;Mestrado em Agroquímica;8
779;2015777128;07/09/2017;Mestrado em Produção Vegetal;16
780;2017777130;08/10/2017;Mestrado em Agricultura Tropical;21
781;2014777144;11/06/2015;Mestrado em Genética e Melhoramentos;8
784;2017777141;25/03/2016;Mestrado em Biotecnologia;16
786;2017777138;17/07/2012;Mestrado em Psicologia;21
778;2014777135;05/07/2016;Mestrado em Agroquímica;8
779;2013777147;07/09/2017;Mestrado em Produção Vegetal;16
780;2018777131;08/10/2017;Mestrado em Agricultura Tropical;21
