<Código Docente>;<Título da Publicação>;<Qualificada?>
145;The Power of One;X
145;As Clear As Crystal;
145;An Electrifying Rage!; 
145;An EGG-sighting Adventure!;
145;Doc Brock!;
146;The Power of One;X
146;All Fired up; 
146;The Search for the Legend;
146;A legendary Photo Op!;
146;Round One - Begin!;
146;Friends to the End; 
144;The Power of One;X
144;Numero Uno Articuno;X
144;The Symbol Life;X
144;Spring Fever;
144;Freeze Frame; 
144;An EGG-sighting Adventure!;
144;An Electrifying Rage!;
150;The Battle of the Badge;X
150;Showdown at the Po-ké Corral;X
150;It's Mr.Mime Time;X
150;Mystery at the Lighthouse; 
150;Mewtwo - Prologue to Awakening;X
151;A Lean Mean Team Rocket Machine!; 
151;Alola, Kanto!;
151;Mewtwo Strikes Back;X
151;Lucario and the Mystery of Mew;X
151;Destiny Deoxys;X
151;The Rise of Darkrai;X
151;Genesect and the Legend Awakened;X
